co_categoria_subcategoria,co_agrupamento,co_categoria_pai,no_categoria_subcategoria,st_cruz,st_asterisco,co_categ_subcateg_sp,st_registro_ativo,dt_inclusao,dt_atualizacao
W38.6,241,W38,Explosao ou ruptura de outros aparelhos pressurizados especificados - areas industriais e em construcao,-,-,W386,S,-,-
W38.7,241,W38,Explosao ou ruptura de outros aparelhos pressurizados especificados - fazenda,-,-,W387,S,-,-
W38.8,241,W38,Explosao ou ruptura de outros aparelhos pressurizados especificados - outros locais especificados,-,-,W388,S,-,-
W38.9,241,W38,Explosao ou ruptura de outros aparelhos pressurizados especificados - local nao especificado,-,-,W389,S,-,-
W39,241,W39,Queima de fogos de artificio,-,-,W39,S,-,-
W39.0,241,W39,Queima de fogos de artificio - residencia,-,-,W390,S,-,-
W39.1,241,W39,Queima de fogos de artificio - habitacao coletiva,-,-,W391,S,-,-
W39.2,241,W39,"Queima de fogos de artificio - escolas, outras instituicoes e areas de administracao publica",-,-,W392,S,-,-
W39.3,241,W39,Queima de fogos de artificio - area para a pratica de esportes e atletismo,-,-,W393,S,-,-
W39.4,241,W39,Queima de fogos de artificio - rua e estrada,-,-,W394,S,-,-
W39.5,241,W39,Queima de fogos de artificio - areas de comercio e de servicos,-,-,W395,S,-,-
W39.6,241,W39,Queima de fogos de artificio - areas industriais e em construcao,-,-,W396,S,-,-
W39.7,241,W39,Queima de fogos de artificio - fazenda,-,-,W397,S,-,-
W39.8,241,W39,Queima de fogos de artificio - outros locais especificados,-,-,W398,S,-,-
W39.9,241,W39,Queima de fogos de artificio - local nao especificado,-,-,W399,S,-,-
W40,241,W40,Explosao de outros materiais,-,-,W40,S,-,-
W40.0,241,W40,Explosao de outros materiais - residencia,-,-,W400,S,-,-
W40.1,241,W40,Explosao de outros materiais - habitacao coletiva,-,-,W401,S,-,-
W40.2,241,W40,"Explosao de outros materiais - escolas, outras instituicoes e areas de administracao publica",-,-,W402,S,-,-
W40.3,241,W40,Explosao de outros materiais - area para a pratica de esportes e atletismo,-,-,W403,S,-,-
W40.4,241,W40,Explosao de outros materiais - rua e estrada,-,-,W404,S,-,-
W40.5,241,W40,Explosao de outros materiais - areas de comercio e de servicos,-,-,W405,S,-,-
W40.6,241,W40,Explosao de outros materiais - areas industriais e em construcao,-,-,W406,S,-,-
W40.7,241,W40,Explosao de outros materiais - fazenda,-,-,W407,S,-,-
W40.8,241,W40,Explosao de outros materiais - outros locais especificados,-,-,W408,S,-,-
W40.9,241,W40,Explosao de outros materiais - local nao especificado,-,-,W409,S,-,-
W41,241,W41,Exposicao a um jato de alta pressao,-,-,W41,S,-,-
W41.0,241,W41,Exposicao a um jato de alta pressao - residencia,-,-,W410,S,-,-
W41.1,241,W41,Exposicao a um jato de alta pressao - habitacao coletiva,-,-,W411,S,-,-
W41.2,241,W41,"Exposicao a um jato de alta pressao - escolas, outras instituicoes e areas de administracao publica",-,-,W412,S,-,-
W41.3,241,W41,Exposicao a um jato de alta pressao - area para a pratica de esportes e atletismo,-,-,W413,S,-,-
W41.4,241,W41,Exposicao a um jato de alta pressao - rua e estrada,-,-,W414,S,-,-
W41.5,241,W41,Exposicao a um jato de alta pressao - areas de comercio e de servicos,-,-,W415,S,-,-
W41.6,241,W41,Exposicao a um jato de alta pressao - areas industriais e em construcao,-,-,W416,S,-,-
W41.7,241,W41,Exposicao a um jato de alta pressao - fazenda,-,-,W417,S,-,-
W41.8,241,W41,Exposicao a um jato de alta pressao - outros locais especificados,-,-,W418,S,-,-
W41.9,241,W41,Exposicao a um jato de alta pressao - local nao especificado,-,-,W419,S,-,-
W42,241,W42,Exposicao ao ruido,-,-,W42,S,-,-
W42.0,241,W42,Exposicao ao ruido - residencia,-,-,W420,S,-,-
W42.1,241,W42,Exposicao ao ruido - habitacao coletiva,-,-,W421,S,-,-
W42.2,241,W42,"Exposicao ao ruido - escolas, outras instituicoes e areas de administracao publica",-,-,W422,S,-,-
W42.3,241,W42,Exposicao ao ruido - area para a pratica de esportes e atletismo,-,-,W423,S,-,-
W42.4,241,W42,Exposicao ao ruido - rua e estrada,-,-,W424,S,-,-
W42.5,241,W42,Exposicao ao ruido - areas de comercio e de servicos,-,-,W425,S,-,-
W42.6,241,W42,Exposicao ao ruido - areas industriais e em construcao,-,-,W426,S,-,-
W42.7,241,W42,Exposicao ao ruido - fazenda,-,-,W427,S,-,-
W42.8,241,W42,Exposicao ao ruido - outros locais especificados,-,-,W428,S,-,-
W42.9,241,W42,Exposicao ao ruido - local nao especificado,-,-,W429,S,-,-
W43,241,W43,Exposicao a vibracao,-,-,W43,S,-,-
W43.0,241,W43,Exposicao a vibracao - residencia,-,-,W430,S,-,-
W43.1,241,W43,Exposicao a vibracao - habitacao coletiva,-,-,W431,S,-,-
W43.2,241,W43,"Exposicao a vibracao - escolas, outras instituicoes e areas de administracao publica",-,-,W432,S,-,-
W43.3,241,W43,Exposicao a vibracao - area para a pratica de esportes e atletismo,-,-,W433,S,-,-
W43.4,241,W43,Exposicao a vibracao - rua e estrada,-,-,W434,S,-,-
W43.5,241,W43,Exposicao a vibracao - areas de comercio e de servicos,-,-,W435,S,-,-
W43.6,241,W43,Exposicao a vibracao - areas industriais e em construcao,-,-,W436,S,-,-
W43.7,241,W43,Exposicao a vibracao - fazenda,-,-,W437,S,-,-
W43.8,241,W43,Exposicao a vibracao - outros locais especificados,-,-,W438,S,-,-
W43.9,241,W43,Exposicao a vibracao - local nao especificado,-,-,W439,S,-,-
W44,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural,-,-,W44,S,-,-
W44.0,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural - residencia,-,-,W440,S,-,-
W44.1,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural - habitacao coletiva,-,-,W441,S,-,-
W44.2,241,W44,"Penetracao de corpo estranho no ou atraves de olho ou orificio natural - escolas, outras instituicoes e areas de administracao publica",-,-,W442,S,-,-
W44.3,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural - area para a pratica de esportes e atletismo,-,-,W443,S,-,-
W44.4,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural - rua e estrada,-,-,W444,S,-,-
W44.5,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural - areas de comercio e de servicos,-,-,W445,S,-,-
W44.6,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural - areas industriais e em construcao,-,-,W446,S,-,-
W44.7,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural - fazenda,-,-,W447,S,-,-
W44.8,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural - outros locais especificados,-,-,W448,S,-,-
W44.9,241,W44,Penetracao de corpo estranho no ou atraves de olho ou orificio natural - local nao especificado,-,-,W449,S,-,-
W45,241,W45,Penetracao de corpo ou objeto estranho atraves da pele,-,-,W45,S,-,-
W45.0,241,W45,Penetracao de corpo ou objeto estranho atraves da pele - residencia,-,-,W450,S,-,-
W45.1,241,W45,Penetracao de corpo ou objeto estranho atraves da pele - habitacao coletiva,-,-,W451,S,-,-
W45.2,241,W45,"Penetracao de corpo ou objeto estranho atraves da pele - escolas, outras instituicoes e areas de administracao publica",-,-,W452,S,-,-
W45.3,241,W45,Penetracao de corpo ou objeto estranho atraves da pele - area para a pratica de esportes e atletismo,-,-,W453,S,-,-
W45.4,241,W45,Penetracao de corpo ou objeto estranho atraves da pele - rua e estrada,-,-,W454,S,-,-
W45.5,241,W45,Penetracao de corpo ou objeto estranho atraves da pele - areas de comercio e de servicos,-,-,W455,S,-,-
W45.6,241,W45,Penetracao de corpo ou objeto estranho atraves da pele - areas industriais e em construcao,-,-,W456,S,-,-
W45.7,241,W45,Penetracao de corpo ou objeto estranho atraves da pele - fazenda,-,-,W457,S,-,-
W45.8,241,W45,Penetracao de corpo ou objeto estranho atraves da pele - outros locais especificados,-,-,W458,S,-,-
W45.9,241,W45,Penetracao de corpo ou objeto estranho atraves da pele - local nao especificado,-,-,W459,S,-,-
W46,272,W46,Contato com agulha hipod閞mica,-,-,W46,S,5/24/2010,-
W46.0,272,W46,Contato com agulha hipod閞mica - resid阯cia,-,-,W460,S,3/29/2012,-
W46.1,272,W46,Contato com agulha hipod閞mica - habita玢o coletiva,-,-,W461,S,3/29/2012,-
W46.2,272,W46,"Contato com agulha hipod閞mica - escolas, outras institui珲es e 醨eas de administra玢o p鷅lica",-,-,W462,S,3/29/2012,-
W46.3,272,W46,Contato com agulha hipod閞mica - 醨ea para a pr醫ica de esportes e atletismo,-,-,W463,S,3/29/2012,-
W46.4,272,W46,Contato com agulha hipod閞mica - rua e estrada,-,-,W464,S,3/29/2012,-
W46.5,272,W46,Contato com agulha hipod閞mica - 醨eas de com閞cio e de servi鏾s,-,-,W465,S,3/29/2012,-
W46.6,272,W46,Contato com agulha hipod閞mica - 醨eas industriais e em constru玢o,-,-,W466,S,3/29/2012,-
W46.7,272,W46,Contato com agulha hipod閞mica - fazenda,-,-,W467,S,3/29/2012,-
W46.8,272,W46,Contato com agulha hipod閞mica - outros locais especificados,-,-,W468,S,3/29/2012,-
W46.9,272,W46,Contato com agulha hipod閞mica - local n鉶 especificado,-,-,W469,S,3/29/2012,-
W49,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas,-,-,W49,S,-,-
W49.0,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - residencia,-,-,W490,S,-,-
W49.1,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - habitacao coletiva,-,-,W491,S,-,-
W49.2,241,W49,"Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - escolas, outras instituicoes e areas de administracao publica",-,-,W492,S,-,-
W49.3,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - area para a pratica de esportes e atletismo,-,-,W493,S,-,-
W49.4,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - rua e estrada,-,-,W494,S,-,-
W49.5,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - areas de comercio e de servicos,-,-,W495,S,-,-
W49.6,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - areas industriais e em construcao,-,-,W496,S,-,-
W49.7,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - fazenda,-,-,W497,S,-,-
W49.8,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - outros locais especificados,-,-,W498,S,-,-
W49.9,241,W49,Exposicao a outras forcas mecanicas inanimadas e as nao especificadas - local nao especificado,-,-,W499,S,-,-
W50,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa",-,-,W50,S,-,-
W50.0,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - residencia",-,-,W500,S,-,-
W50.1,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - habitacao coletiva",-,-,W501,S,-,-
W50.2,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - escolas, outras instituicoes e areas de administracao publica",-,-,W502,S,-,-
W50.3,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - area para a pratica de esportes e atletismo",-,-,W503,S,-,-
W50.4,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - rua e estrada",-,-,W504,S,-,-
W50.5,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - areas de comercio e de servicos",-,-,W505,S,-,-
W50.6,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - areas industriais e em construcao",-,-,W506,S,-,-
W50.7,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - fazenda",-,-,W507,S,-,-
W50.8,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - outros locais especificados",-,-,W508,S,-,-
W50.9,242,W50,"Golpe, pancada, pontape, mordedura ou escoriacao infligidos por outra pessoa - local nao especificado",-,-,W509,S,-,-
W51,242,W51,Colisao entre duas pessoas,-,-,W51,S,-,-
W51.0,242,W51,Colisao entre duas pessoas - residencia,-,-,W510,S,-,-
W51.1,242,W51,Colisao entre duas pessoas - habitacao coletiva,-,-,W511,S,-,-
W51.2,242,W51,"Colisao entre duas pessoas - escolas, outras instituicoes e areas de administracao publica",-,-,W512,S,-,-
W51.3,242,W51,Colisao entre duas pessoas - area para a pratica de esportes e atletismo,-,-,W513,S,-,-
W51.4,242,W51,Colisao entre duas pessoas - rua e estrada,-,-,W514,S,-,-
W51.5,242,W51,Colisao entre duas pessoas - areas de comercio e de servicos,-,-,W515,S,-,-
W51.6,242,W51,Colisao entre duas pessoas - areas industriais e em construcao,-,-,W516,S,-,-
W51.7,242,W51,Colisao entre duas pessoas - fazenda,-,-,W517,S,-,-
W51.8,242,W51,Colisao entre duas pessoas - outros locais especificados,-,-,W518,S,-,-
W51.9,242,W51,Colisao entre duas pessoas - local nao especificado,-,-,W519,S,-,-
W52,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas",-,-,W52,S,-,-
W52.0,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - residencia",-,-,W520,S,-,-
W52.1,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - habitacao coletiva",-,-,W521,S,-,-
W52.2,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - escolas, outras instituicoes e areas de administracao publica",-,-,W522,S,-,-
W52.3,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - area para a pratica de esportes e atletismo",-,-,W523,S,-,-
W52.4,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - rua e estrada",-,-,W524,S,-,-
W52.5,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - areas de comercio e de servicos",-,-,W525,S,-,-
W52.6,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - areas industriais e em construcao",-,-,W526,S,-,-
W52.7,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - fazenda",-,-,W527,S,-,-
W52.8,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - outros locais especificados",-,-,W528,S,-,-
W52.9,242,W52,"Esmagado, empurrado ou pisoteado por multidao ou debandada em massa de pessoas - local nao especificado",-,-,W529,S,-,-
W53,242,W53,Mordedura de rato,-,-,W53,S,-,-
W53.0,242,W53,Mordedura de rato - residencia,-,-,W530,S,-,-
W53.1,242,W53,Mordedura de rato - habitacao coletiva,-,-,W531,S,-,-
W53.2,242,W53,"Mordedura de rato - escolas, outras instituicoes e areas de administracao publica",-,-,W532,S,-,-
W53.3,242,W53,Mordedura de rato - area para a pratica de esportes e atletismo,-,-,W533,S,-,-
W53.4,242,W53,Mordedura de rato - rua e estrada,-,-,W534,S,-,-
W53.5,242,W53,Mordedura de rato - areas de comercio e de servicos,-,-,W535,S,-,-
W53.6,242,W53,Mordedura de rato - areas industriais e em construcao,-,-,W536,S,-,-
W53.7,242,W53,Mordedura de rato - fazenda,-,-,W537,S,-,-
W53.8,242,W53,Mordedura de rato - outros locais especificados,-,-,W538,S,-,-
W53.9,242,W53,Mordedura de rato - local nao especificado,-,-,W539,S,-,-
W54,242,W54,Mordedura ou golpe provocado por cao,-,-,W54,S,-,-
W54.0,242,W54,Mordedura ou golpe provocado por cao - residencia,-,-,W540,S,-,-
W54.1,242,W54,Mordedura ou golpe provocado por cao - habitacao coletiva,-,-,W541,S,-,-
W54.2,242,W54,"Mordedura ou golpe provocado por cao - escolas, outras instituicoes e areas de administracao publica",-,-,W542,S,-,-
W54.3,242,W54,Mordedura ou golpe provocado por cao - area para a pratica de esportes e atletismo,-,-,W543,S,-,-
W54.4,242,W54,Mordedura ou golpe provocado por cao - rua e estrada,-,-,W544,S,-,-
W54.5,242,W54,Mordedura ou golpe provocado por cao - areas de comercio e de servicos,-,-,W545,S,-,-
W54.6,242,W54,Mordedura ou golpe provocado por cao - areas industriais e em construcao,-,-,W546,S,-,-
W54.7,242,W54,Mordedura ou golpe provocado por cao - fazenda,-,-,W547,S,-,-
W54.8,242,W54,Mordedura ou golpe provocado por cao - outros locais especificados,-,-,W548,S,-,-
W54.9,242,W54,Mordedura ou golpe provocado por cao - local nao especificado,-,-,W549,S,-,-
W55,242,W55,Mordedura ou golpe provocado por outros animais mamiferos,-,-,W55,S,-,-
W55.0,242,W55,Mordedura ou golpe provocado por outros animais mamiferos - residencia,-,-,W550,S,-,-
W55.1,242,W55,Mordedura ou golpe provocado por outros animais mamiferos - habitacao coletiva,-,-,W551,S,-,-
W55.2,242,W55,"Mordedura ou golpe provocado por outros animais mamiferos - escolas, outras instituicoes e areas de administracao publica",-,-,W552,S,-,-
W55.3,242,W55,Mordedura ou golpe provocado por outros animais mamiferos - area para a pratica de esportes e atletismo,-,-,W553,S,-,-
W55.4,242,W55,Mordedura ou golpe provocado por outros animais mamiferos - rua e estrada,-,-,W554,S,-,-
W55.5,242,W55,Mordedura ou golpe provocado por outros animais mamiferos - areas de comercio e de servicos,-,-,W555,S,-,-
W55.6,242,W55,Mordedura ou golpe provocado por outros animais mamiferos - areas industriais e em construcao,-,-,W556,S,-,-
W55.7,242,W55,Mordedura ou golpe provocado por outros animais mamiferos - fazenda,-,-,W557,S,-,-
W55.8,242,W55,Mordedura ou golpe provocado por outros animais mamiferos - outros locais especificados,-,-,W558,S,-,-
W55.9,242,W55,Mordedura ou golpe provocado por outros animais mamiferos - local nao especificado,-,-,W559,S,-,-
W56,242,W56,Contato com animais marinhos,-,-,W56,S,-,-
W56.0,242,W56,Contato com animais marinhos - residencia,-,-,W560,S,-,-
W56.1,242,W56,Contato com animais marinhos - habitacao coletiva,-,-,W561,S,-,-
W56.2,242,W56,"Contato com animais marinhos - escolas, outras instituicoes e areas de administracao publica",-,-,W562,S,-,-
W56.3,242,W56,Contato com animais marinhos - area para a pratica de esportes e atletismo,-,-,W563,S,-,-
W56.4,242,W56,Contato com animais marinhos - rua e estrada,-,-,W564,S,-,-
W56.5,242,W56,Contato com animais marinhos - areas de comercio e de servicos,-,-,W565,S,-,-
W56.6,242,W56,Contato com animais marinhos - areas industriais e em construcao,-,-,W566,S,-,-
W56.7,242,W56,Contato com animais marinhos - fazenda,-,-,W567,S,-,-
W56.8,242,W56,Contato com animais marinhos - outros locais especificados,-,-,W568,S,-,-
W56.9,242,W56,Contato com animais marinhos - local nao especificado,-,-,W569,S,-,-
W57,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos",-,-,W57,S,-,-
W57.0,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - residencia",-,-,W570,S,-,-
W57.1,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - habitacao coletiva",-,-,W571,S,-,-
W57.2,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - escolas, outras instituicoes e areas de administracao publica",-,-,W572,S,-,-
W57.3,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - area para a pratica de esportes e atletismo",-,-,W573,S,-,-
W57.4,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - rua e estrada",-,-,W574,S,-,-
W57.5,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - areas de comercio e de servicos",-,-,W575,S,-,-
W57.6,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - areas industriais e em construcao",-,-,W576,S,-,-
W57.7,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - fazenda",-,-,W577,S,-,-
W57.8,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - outros locais especificados",-,-,W578,S,-,-
W57.9,242,W57,"Mordeduras e picadas de inseto e de outros artropodes, nao-venenosos - local nao especificado",-,-,W579,S,-,-
W58,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator,-,-,W58,S,-,-
W58.0,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator - residencia,-,-,W580,S,-,-
W58.1,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator - habitacao coletiva,-,-,W581,S,-,-
W58.2,242,W58,"Mordedura ou golpe provocado por crocodilo ou aligator - escolas, outras instituicoes e areas de administracao publica",-,-,W582,S,-,-
W58.3,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator - area para a pratica de esportes e atletismo,-,-,W583,S,-,-
W58.4,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator - rua e estrada,-,-,W584,S,-,-
W58.5,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator - areas de comercio e de servicos,-,-,W585,S,-,-
W58.6,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator - areas industriais e em construcao,-,-,W586,S,-,-
W58.7,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator - fazenda,-,-,W587,S,-,-
W58.8,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator - outros locais especificados,-,-,W588,S,-,-
W58.9,242,W58,Mordedura ou golpe provocado por crocodilo ou aligator - local nao especificado,-,-,W589,S,-,-
W59,242,W59,Mordedura ou esmagamento provocado por outros repteis,-,-,W59,S,-,-
W59.0,242,W59,Mordedura ou esmagamento provocado por outros repteis - residencia,-,-,W590,S,-,-
W59.1,242,W59,Mordedura ou esmagamento provocado por outros repteis - habitacao coletiva,-,-,W591,S,-,-
W59.2,242,W59,"Mordedura ou esmagamento provocado por outros repteis - escolas, outras instituicoes e areas de administracao publica",-,-,W592,S,-,-
W59.3,242,W59,Mordedura ou esmagamento provocado por outros repteis - area para a pratica de esportes e atletismo,-,-,W593,S,-,-
W59.4,242,W59,Mordedura ou esmagamento provocado por outros repteis - rua e estrada,-,-,W594,S,-,-
W59.5,242,W59,Mordedura ou esmagamento provocado por outros repteis - areas de comercio e de servicos,-,-,W595,S,-,-
W59.6,242,W59,Mordedura ou esmagamento provocado por outros repteis - areas industriais e em construcao,-,-,W596,S,-,-
W59.7,242,W59,Mordedura ou esmagamento provocado por outros repteis - fazenda,-,-,W597,S,-,-
W59.8,242,W59,Mordedura ou esmagamento provocado por outros repteis - outros locais especificados,-,-,W598,S,-,-
W59.9,242,W59,Mordedura ou esmagamento provocado por outros repteis - local nao especificado,-,-,W599,S,-,-
W60,242,W60,Contato com espinhos de plantas ou com folhas agucadas,-,-,W60,S,-,-
W60.0,242,W60,Contato com espinhos de plantas ou com folhas agucadas - residencia,-,-,W600,S,-,-
W60.1,242,W60,Contato com espinhos de plantas ou com folhas agucadas - habitacao coletiva,-,-,W601,S,-,-
W60.2,242,W60,"Contato com espinhos de plantas ou com folhas agucadas - escolas, outras instituicoes e areas de administracao publica",-,-,W602,S,-,-
W60.3,242,W60,Contato com espinhos de plantas ou com folhas agucadas - area para a pratica de esportes e atletismo,-,-,W603,S,-,-
W60.4,242,W60,Contato com espinhos de plantas ou com folhas agucadas - rua e estrada,-,-,W604,S,-,-
W60.5,242,W60,Contato com espinhos de plantas ou com folhas agucadas - areas de comercio e de servicos,-,-,W605,S,-,-
W60.6,242,W60,Contato com espinhos de plantas ou com folhas agucadas - areas industriais e em construcao,-,-,W606,S,-,-
W60.7,242,W60,Contato com espinhos de plantas ou com folhas agucadas - fazenda,-,-,W607,S,-,-
W60.8,242,W60,Contato com espinhos de plantas ou com folhas agucadas - outros locais especificados,-,-,W608,S,-,-
W60.9,242,W60,Contato com espinhos de plantas ou com folhas agucadas - local nao especificado,-,-,W609,S,-,-
W64,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas,-,-,W64,S,-,-
W64.0,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas - residencia,-,-,W640,S,-,-
W64.1,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas - habitacao coletiva,-,-,W641,S,-,-
W64.2,242,W64,"Exposicao a outras forcas mecanicas animadas e as nao especificadas - escolas, outras instituicoes e areas de administracao publica",-,-,W642,S,-,-
W64.3,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas - area para a pratica de esportes e atletismo,-,-,W643,S,-,-
W64.4,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas - rua e estrada,-,-,W644,S,-,-
W64.5,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas - areas de comercio e de servicos,-,-,W645,S,-,-
W64.6,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas - areas industriais e em construcao,-,-,W646,S,-,-
W64.7,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas - fazenda,-,-,W647,S,-,-
W64.8,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas - outros locais especificados,-,-,W648,S,-,-
W64.9,242,W64,Exposicao a outras forcas mecanicas animadas e as nao especificadas - local nao especificado,-,-,W649,S,-,-
W65,243,W65,Afogamento e submersao durante banho em banheira,-,-,W65,S,-,-
W65.0,243,W65,Afogamento e submersao durante banho em banheira - residencia,-,-,W650,S,-,-
W65.1,243,W65,Afogamento e submersao durante banho em banheira - habitacao coletiva,-,-,W651,S,-,-
W65.2,243,W65,"Afogamento e submersao durante banho em banheira - escolas, outras instituicoes e areas de administracao publica",-,-,W652,S,-,-
W65.3,243,W65,Afogamento e submersao durante banho em banheira - area para a pratica de esportes e atletismo,-,-,W653,S,-,-
W65.4,243,W65,Afogamento e submersao durante banho em banheira - rua e estrada,-,-,W654,S,-,-
W65.5,243,W65,Afogamento e submersao durante banho em banheira - areas de comercio e de servicos,-,-,W655,S,-,-
W65.6,243,W65,Afogamento e submersao durante banho em banheira - areas industriais e em construcao,-,-,W656,S,-,-
W65.7,243,W65,Afogamento e submersao durante banho em banheira - fazenda,-,-,W657,S,-,-
W65.8,243,W65,Afogamento e submersao durante banho em banheira - outros locais especificados,-,-,W658,S,-,-
W65.9,243,W65,Afogamento e submersao durante banho em banheira - local nao especificado,-,-,W659,S,-,-
W66,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira,-,-,W66,S,-,-
W66.0,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira - residencia,-,-,W660,S,-,-
W66.1,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira - habitacao coletiva,-,-,W661,S,-,-
W66.2,243,W66,"Afogamento e submersao consecutiva a queda dentro de uma banheira - escolas, outras instituicoes e areas de administracao publica",-,-,W662,S,-,-
W66.3,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira - area para a pratica de esportes e atletismo,-,-,W663,S,-,-
W66.4,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira - rua e estrada,-,-,W664,S,-,-
W66.5,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira - areas de comercio e de servicos,-,-,W665,S,-,-
W66.6,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira - areas industriais e em construcao,-,-,W666,S,-,-
W66.7,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira - fazenda,-,-,W667,S,-,-
W66.8,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira - outros locais especificados,-,-,W668,S,-,-
W66.9,243,W66,Afogamento e submersao consecutiva a queda dentro de uma banheira - local nao especificado,-,-,W669,S,-,-
W67,243,W67,Afogamento e submersao em piscina,-,-,W67,S,-,-
W67.0,243,W67,Afogamento e submersao em piscina - residencia,-,-,W670,S,-,-
W67.1,243,W67,Afogamento e submersao em piscina - habitacao coletiva,-,-,W671,S,-,-
W67.2,243,W67,"Afogamento e submersao em piscina - escolas, outras instituicoes e areas de administracao publica",-,-,W672,S,-,-
